clean_name,full_name,first_name,surname,affiliation,homepage,scholar,middle_name
Ping Wang,Ping Wang 0003,Ping,Wang,Peking University,https://ics.pku.edu.cn/gywm/jsgrzy/1066633d7d214263a734d50eb7454f6f.htm,wmNmNNgAAAAJ,\N
Ping Wei,Ping Wei 0001,Ping,Wei,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/pingwei/home,1OQBtdcAAAAJ,\N
Ping Yang,Ping Yang 0002,Ping,Yang,Binghamton University,http://www.cs.binghamton.edu/~pyang,0hTZUnYAAAAJ,\N
Ping Yu,Ping Yu 0002,Ping,Yu,Nanjing University,http://ics.nju.edu.cn/people/pingyu,LqQ0YXUAAAAJ,\N
Ping Yu,Ping Yu 0004,Ping,Yu,University of Wollongong,https://scholars.uow.edu.au/ping-yu,6U4AouYAAAAJ,\N
Ping Zhang,Ping Zhang 0016,Ping,Zhang,Ohio State University,https://web.cse.ohio-state.edu/~zhang.10631,E3WyjZUAAAAJ,\N
Ping Zhong,Ping Zhong 0002,Ping,Zhong,Central South University,https://faculty.csu.edu.cn/zhongping/zh_CN/index.htm,NOSCHOLARPAGE,\N
Ping-Chun Hsieh,Ping-Chun Hsieh,Ping-Chun,Hsieh,National Chiao Tung University,https://pinghsieh.github.io,ix38JgoAAAAJ,\N
Pinghui Wang,Pinghui Wang,Pinghui,Wang,Xi'an Jiaotong University,https://nskeylab.xjtu.edu.cn/people/phwang,_a8jUnQAAAAJ,\N
Pingqiang Zhou,Pingqiang Zhou,Pingqiang,Zhou,ShanghaiTech University,http://faculty.sist.shanghaitech.edu.cn/faculty/zhoupq,oyNiibAAAAAJ,\N
Pingzhong Tang,Pingzhong Tang,Pingzhong,Tang,Tsinghua University,http://iiis.tsinghua.edu.cn/~kenshin,NOSCHOLARPAGE,\N
Pinjia He,Pinjia He,Pinjia,He,CUHK (SZ),https://pinjiahe.github.io,vg0moI0AAAAJ,\N
Pinki Roy,Pinki Roy,Pinki,Roy,National Institute of Technology Silchar,http://cs.nits.ac.in/pinki,ZGnPvTIAAAAJ,\N
Pino Persiano,Pino Persiano,Pino,Persiano,University of Salerno,http://www.di.unisa.it/~giuper,wbQQcfQAAAAJ,\N
Pinyan Lu,Pinyan Lu,Pinyan,Lu,SUFE,http://itcs.shufe.edu.cn/pinyan,KFQERBwAAAAJ,\N
Piotr Berman,Piotr Berman,Piotr,Berman,Pennsylvania State University,https://profiles.psu.edu/profiles/display/112545,NOSCHOLARPAGE,\N
Piotr Bilinski,Piotr Bilinski,Piotr,Bilinski,University of Warsaw,http://www.piotr-bilinski.com,w_m_VRQAAAAJ,\N
Piotr Didyk,Piotr Didyk,Piotr,Didyk,Università della Svizzera italiana,https://www.pdf.inf.usi.ch/people/piotr,kH5VxAIAAAAJ,\N
Piotr Hofman,Piotr Hofman,Piotr,Hofman,University of Warsaw,https://www.mimuw.edu.pl/~ph209519,HRFzDfoAAAAJ,\N
Piotr Indyk,Piotr Indyk,Piotr,Indyk,Massachusetts Institute of Technology,https://people.csail.mit.edu/indyk,oOwNKsAAAAAJ,\N
Piotr J. Gmytrasiewicz,Piotr J. Gmytrasiewicz,Piotr,Gmytrasiewicz,University of Illinois at Chicago,https://www.cs.uic.edu/bin/view/Piotr/WebHome,NOSCHOLARPAGE,J.
Piotr Krysta,Piotr Krysta,Piotr,Krysta,Augusta University,https://sites.google.com/view/piotrkrysta,Pe39BdUAAAAJ,\N
Piotr Krzysztof Skowron,Piotr Krzysztof Skowron,Piotr,Skowron,University of Warsaw,https://www.mimuw.edu.pl/~ps219737,HKy4T5kAAAAJ,Krzysztof
Piotr Lipinski,Piotr Lipinski,Piotr,Lipinski,University of Wroclaw,http://www.ii.uni.wroc.pl/~lipinski,NOSCHOLARPAGE,\N
Piotr Sankowski,Piotr Sankowski,Piotr,Sankowski,University of Warsaw,http://duch.mimuw.edu.pl/~sank/wordpress,-5LVg-0AAAAJ,\N
Piotr Skowron,Piotr Skowron 0001,Piotr,Skowron,University of Warsaw,https://www.mimuw.edu.pl/~ps219737,HKy4T5kAAAAJ,\N
Piotr Tadeusz Bilinski,Piotr Tadeusz Bilinski,Piotr,Bilinski,University of Warsaw,http://www.piotr-bilinski.com,w_m_VRQAAAAJ,Tadeusz
